id	hit_id	hit_title	hit_species	hit_evalue	hit_identity
1	"gnl|BL_ORD_ID|252122"	"P24307.2 RecName: Full=DNA replication helicase; AltName: Full=P143 [Autographa californica nucleopolyhedrovirus]"	"Autographa californica nucleopolyhedrovirus"	0	0.4266994266994267
1	"gnl|BL_ORD_ID|390373"	"Q83950.1 RecName: Full=ATP-dependent DNA helicase P143 [Orgyia pseudotsugata multiple nucleopolyhedrovirus]"	"Orgyia pseudotsugata multiple nucleopolyhedrovirus"	0	0.3704006541291905
1	"gnl|BL_ORD_ID|272759"	"A1RXH6.1 RecName: Full=Probable translation initiation factor IF-2 [Thermofilum pendens Hrk 5]"	"Thermofilum pendens Hrk 5"	1.41317	0.04991680532445923
1	"gnl|BL_ORD_ID|316869"	"P54811.1 RecName: Full=Transitional endoplasmic reticulum ATPase homolog 1; AltName: Full=Cell division cycle-related protein 48.1; AltName: Full=p97/CDC48 homolog 1 [Caenorhabditis elegans]"	"Caenorhabditis elegans"	1.48741	0.038318912237330034
1	"gnl|BL_ORD_ID|237426"	"Q5V143.1 RecName: Full=3-dehydroquinate synthase; Short=DHQ synthase; AltName: Full=3-dehydroquinate synthase II [Haloarcula marismortui ATCC 43049]"	"Haloarcula marismortui ATCC 43049"	4.84784	0.07989690721649484
1	"gnl|BL_ORD_ID|293376"	"Q58669.1 RecName: Full=N(4)-bis(aminopropyl)spermidine synthase; AltName: Full=Branched-chain polyamine synthase A [Methanocaldococcus jannaschii DSM 2661]"	"Methanocaldococcus jannaschii DSM 2661"	5.29665	0.06
1	"gnl|BL_ORD_ID|19512"	"Q976L5.1 RecName: Full=Putative adenylate kinase; Short=AK; AltName: Full=ATP-AMP transphosphorylase [Sulfurisphaera tokodaii str. 7]"	"Sulfurisphaera tokodaii str. 7"	5.36172	0.1276595744680851
1	"gnl|BL_ORD_ID|16504"	"Q60662.1 RecName: Full=A-kinase anchor protein 4; Short=AKAP-4; AltName: Full=A-kinase anchor protein 82 kDa; Short=AKAP 82; Short=mAKAP82; AltName: Full=FSC1; AltName: Full=Major sperm fibrous sheath protein; AltName: Full=Protein kinase A-anchoring protein 4; Short=PRKA4; AltName: Full=p82; Flags: Precursor [Mus musculus]"	"Mus musculus"	6.1294	0.027090694935217905
1	"gnl|BL_ORD_ID|309423"	"Q18DY6.1 RecName: Full=3-dehydroquinate synthase; Short=DHQ synthase; AltName: Full=3-dehydroquinate synthase II [Haloquadratum walsbyi DSM 16790]"	"Haloquadratum walsbyi DSM 16790"	6.51899	0.07518796992481203
1	"gnl|BL_ORD_ID|468402"	"A6ZN61.1 RecName: Full=Ferric/cupric reductase transmembrane component 7; AltName: Full=Ferric-chelate reductase 7 [Saccharomyces cerevisiae YJM789]"	"Saccharomyces cerevisiae YJM789"	6.76783	0.05161290322580645
2	"gnl|BL_ORD_ID|67314"	"Q83948.1 RecName: Full=DNA polymerase [Orgyia pseudotsugata multiple nucleopolyhedrovirus]"	"Orgyia pseudotsugata multiple nucleopolyhedrovirus"	0	0.7878172588832487
2	"gnl|BL_ORD_ID|182343"	"Q90162.1 RecName: Full=DNA polymerase [Choristoneura fumiferana multiple nucleopolyhedrovirus]"	"Choristoneura fumiferana multiple nucleopolyhedrovirus"	0	0.7606060606060606
2	"gnl|BL_ORD_ID|7124"	"P41712.2 RecName: Full=DNA polymerase [Bombyx mori nucleopolyhedrovirus]"	"Bombyx mori nucleopolyhedrovirus"	0	0.6267748478701826
2	"gnl|BL_ORD_ID|202854"	"P18131.2 RecName: Full=DNA polymerase [Autographa californica nucleopolyhedrovirus]"	"Autographa californica nucleopolyhedrovirus"	0	0.6310975609756098
2	"gnl|BL_ORD_ID|432110"	"P30318.2 RecName: Full=DNA polymerase [Lymantria dispar multiple nucleopolyhedrovirus]"	"Lymantria dispar multiple nucleopolyhedrovirus"	0	0.41124260355029585
2	"gnl|BL_ORD_ID|311475"	"P52342.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 7 strain JI]"	"Human herpesvirus 7 strain JI"	3.2019e-28	0.1432806324110672
2	"gnl|BL_ORD_ID|238473"	"Q9QJ32.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 6 strain Z29]"	"Human herpesvirus 6 strain Z29"	8.82718e-27	0.1442687747035573
2	"gnl|BL_ORD_ID|76946"	"P28857.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 6 (strain Uganda-1102)]"	"Human herpesvirus 6 (strain Uganda-1102)"	9.2738e-26	0.1422924901185771
2	"gnl|BL_ORD_ID|346064"	"O50607.1 RecName: Full=DNA polymerase 1; AltName: Full=DNA polymerase B1; AltName: Full=DNA polymerase I [Sulfurisphaera ohwakuensis]"	"Sulfurisphaera ohwakuensis"	5.71429e-24	0.17889908256880735
2	"gnl|BL_ORD_ID|469682"	"O29753.1 RecName: Full=DNA polymerase [Archaeoglobus fulgidus DSM 4304]"	"Archaeoglobus fulgidus DSM 4304"	5.22976e-22	0.18053777208706787
2	"gnl|BL_ORD_ID|346196"	"O36363.1 RecName: Full=DNA polymerase catalytic subunit [Alcelaphine herpesvirus 1 strain C500]"	"Alcelaphine herpesvirus 1 strain C500"	8.606e-22	0.1539961013645224
